"Territory","year","recruitment_female","recruitment_male","breeding_proba","hatching_success","productivity","wind_b2_prebreeding","wind_a7_prebreeding","rainfall_prebredding","min_T_prebreeding","max_T_prebreeding","wind_b2_incubation","wind_a7_incubation","rainfall_incubation","min_T_incubation","max_T_incubation","wind_b2_rearing","wind_a7_rearing","rainfall_rearing","min_T_rearing","max_T_rearing","number_recruitment","fledging_success"
13,2015,0,0,1,1,2,22,1,102.539,0.382,12.535,11,2,57.668,4.748,12.202,59,3,205.292,6.81,25.17,"0",1
13,2016,1,1,1,0,0,45,0,74.14,1.493,12.989,9,1,43.833,3.604,10.067,36,2,142.803,5.051,24.827,"MF",0
13,2017,0,0,1,1,2,25,2,75.712,-1.265,12.904,14,0,25.805,5.437,14.027,53,1,189.244,7.709,27.022,"0",1
13,2018,1,0,1,0,0,20,0,151.011,1.387,13.616,6,0,75.793,-3.641,12.678,57,0,291.82,4.32,24.673,"F",0
13,2019,0,0,1,0,0,24,6,80.253,1.29,11.731,16,0,7.405,5.48,12.004,53,3,129.651,6.951,31.624,"0",0
13,2020,0,0,1,1,2,29,0,100.555,3.482,14.442,9,0,35.654,4.575,13.919,64,1,181.574,4.371,24.682,"0",1
13,2021,0,0,1,0,0,22,1,113.148,-0.45,12.324,16,0,10.507,4.438,12.023,49,2,181.444,4.802,25.904,"0",0
13,2022,0,0,1,1,2,35,3,57.543,0.877,14.074,16,0,19.185,3.679,12.971,63,2,87.368,3.633,28.221,"0",1
14,2009,0,0,1,1,1,22,0,158.117,-1.225,10.498,6,2,22.704,1.057,11.659,48,2,215.686,5.52,25.616,"0",1
14,2010,0,0,1,1,1,20,0,189.57,-3.368,12.48,6,0,84.704,0.132,10.326,49,3,246.976,7.219,25.424,"0",1
14,2012,0,0,1,0,0,15,3,17.757,-5.52,11.407,9,3,1.4,4.046,13.273,44,3,215.096,7.344,26.195,"0",0
14,2013,0,1,1,1,2,22,4,68.996,-1.378,10.9,11,1,48.751,-1.827,11.481,45,3,274.001,2.696,26.008,"M",1
14,2015,0,0,0,0,0,21,4,101.434,0.504,12.502,12,2,56.254,4.905,12.448,60,3,206.336,6.874,25.369,"0",0
14,2016,0,0,1,1,2,45,0,74.826,1.612,13.03,9,1,43.611,3.604,10.14,37,2,147.663,5.108,24.932,"0",1
14,2017,0,0,1,1,2,24,2,78.289,-1.24,13.03,14,0,25.155,5.563,14.165,53,1,189.817,7.816,27.188,"0",1
14,2018,0,0,0,0,0,22,0,156.194,1.577,13.704,6,0,78.626,-3.576,12.869,56,0,293.172,4.572,24.756,"0",0
14,2021,0,1,1,0,0,22,1,114.993,-0.346,12.408,16,0,11.779,4.638,12.104,51,2,180.236,5.006,26.111,"M",0
14,2022,0,1,1,0,0,35,2,56.111,0.792,14.232,15,0,23.502,3.781,13.081,63,2,86.176,3.778,28.431,"M",0
15,2009,0,0,1,1,1,25,0,206.675,-3.812,8.363,7,1,24.705,-1.085,10.577,44,0,248.015,4.011,24.752,"0",1
